Year,Month,Day,Time,TempK
2023,1,3,7:55,-479.67
2023,1,3,7:35,-479.67
2023,1,3,7:15,-479.67
2023,1,3,6:55,-479.67
2023,1,3,6:35,-479.67
2023,1,3,6:15,-479.67
2023,1,3,5:55,-479.67
2023,1,3,5:35,-479.67
2023,1,3,5:15,-479.67
2023,1,3,4:55,-479.67
2023,1,3,4:35,-479.67
2023,1,3,4:15,-477.67
2023,1,3,3:55,-477.67
2023,1,3,3:35,-477.67
2023,1,3,3:15,-477.67
2023,1,3,2:55,-477.67
2023,1,3,2:35,-477.67
2023,1,3,2:15,-477.67
2023,1,3,1:55,-477.67
2023,1,3,1:35,-477.67
2023,1,3,1:15,-475.67
2023,1,3,0:55,-475.67
2023,1,3,0:35,-475.67
2023,1,3,0:15,-475.67
2023,1,2,23:55,-475.67
2023,1,2,23:35,-475.67
2023,1,2,23:15,-475.67
2023,1,2,22:55,-475.67
2023,1,2,22:35,-475.67
2023,1,2,22:15,-475.67
2023,1,2,21:55,-475.67
2023,1,2,21:35,-475.67
2023,1,2,21:15,-475.67
2023,1,2,20:55,-475.67
2023,1,2,20:35,-473.67
2023,1,2,20:15,-473.67
2023,1,2,19:55,-473.67
2023,1,2,19:35,-473.67
2023,1,2,19:15,-473.67
2023,1,2,18:55,-473.67
2023,1,2,18:35,-473.67
2023,1,2,18:15,-473.67
2023,1,2,17:55,-473.67
2023,1,2,17:35,-473.67
2023,1,2,17:15,-472.67
2023,1,2,16:55,-472.67
2023,1,2,16:35,-472.67
2023,1,2,16:15,-472.67
2023,1,2,15:55,-472.67
2023,1,2,15:35,-472.67
2023,1,2,15:15,-472.67
2023,1,2,14:55,-472.67
2023,1,2,14:35,-472.67
2023,1,2,14:15,-473.67
2023,1,2,13:55,-473.67
2023,1,2,13:35,-472.67
2023,1,2,13:15,-472.67
2023,1,2,12:55,-472.67
2023,1,2,12:35,-473.67
2023,1,2,12:15,-473.67
2023,1,2,11:55,-473.67
2023,1,2,11:35,-473.67
2023,1,2,11:15,-473.67
2023,1,2,10:55,-473.67
2023,1,2,10:35,-473.67
2023,1,2,10:15,-473.67
2023,1,2,9:55,-473.67
2023,1,2,9:35,-473.67
2023,1,2,9:15,-473.67
2023,1,2,8:55,-473.67
2023,1,2,8:35,-473.67
2023,1,2,8:15,-473.67
2023,1,2,7:55,-472.67
2023,1,2,7:35,-472.67
2023,1,2,7:15,-472.67
2023,1,2,6:55,-472.67
2023,1,2,6:35,-472.67
2023,1,2,6:15,-472.67
2023,1,2,5:55,-470.67
2023,1,2,5:35,-470.67
2023,1,2,5:15,-470.67
2023,1,2,4:55,-470.67
2023,1,2,4:35,-470.67
2023,1,2,4:15,-470.67
2023,1,2,3:55,-470.67
2023,1,2,3:35,-470.67
2023,1,2,3:15,-470.67
2023,1,2,2:55,-470.67
2023,1,2,2:35,-470.67
2023,1,2,2:15,-470.67
2023,1,2,1:55,-470.67
2023,1,2,1:35,-470.67
2023,1,2,1:15,-470.67
2023,1,2,0:55,-470.67
2023,1,2,0:35,-468.67
2023,1,2,0:15,-468.67
2023,1,1,23:55,-468.67
2023,1,1,23:35,-468.67
2023,1,1,23:15,-468.67
2023,1,1,22:55,-468.67
2023,1,1,22:35,-468.67
2023,1,1,22:15,-468.67
2023,1,1,21:55,-468.67
2023,1,1,21:35,-468.67
2023,1,1,21:15,-466.67
2023,1,1,20:55,-466.67
2023,1,1,20:35,-466.67
2023,1,1,20:15,-466.67
2023,1,1,19:55,-466.67
2023,1,1,19:35,-466.67
2023,1,1,19:15,-466.67
2023,1,1,18:55,-466.67
2023,1,1,18:35,-466.67
2023,1,1,18:15,-466.67
2023,1,1,17:55,-466.67
2023,1,1,17:35,-466.67
2023,1,1,17:15,-464.67
2023,1,1,16:55,-464.67
2023,1,1,16:35,-464.67
2023,1,1,16:15,-464.67
2023,1,1,15:55,-464.67
2023,1,1,15:35,-464.67
2023,1,1,15:15,-464.67
2023,1,1,14:55,-464.67
2023,1,1,14:35,-464.67
2023,1,1,14:15,-464.67
2023,1,1,13:55,-464.67
2023,1,1,13:35,-464.67
2023,1,1,13:15,-464.67
2023,1,1,12:55,-464.67
2023,1,1,12:35,-464.67
2023,1,1,12:15,-464.67
2023,1,1,11:55,-464.67
2023,1,1,11:35,-464.67
2023,1,1,11:15,-464.67
2023,1,1,10:55,-464.67
2023,1,1,10:35,-464.67
2023,1,1,10:15,-464.67
2023,1,1,9:55,-463.67
2023,1,1,9:35,-463.67
2023,1,1,9:15,-463.67
2023,1,1,8:55,-463.67
2023,1,1,8:35,-463.67
2023,1,1,8:15,-463.67
2023,1,1,7:55,-463.67
2023,1,1,7:35,-463.67
2023,1,1,7:15,-463.67
2023,1,1,6:55,-463.67
2023,1,1,6:35,-463.67
2023,1,1,6:15,-463.67
2023,1,1,5:55,-463.67
2023,1,1,5:35,-463.67
2023,1,1,5:15,-463.67
2023,1,1,4:55,-463.67
2023,1,1,4:35,-463.67
2023,1,1,4:15,-463.67
2023,1,1,3:55,-463.67
2023,1,1,3:35,-463.67
2023,1,1,3:15,-463.67
2023,1,1,2:55,-463.67
2023,1,1,2:35,-463.67
2023,1,1,2:15,-464.67
2023,1,1,1:55,-464.67
2023,1,1,1:35,-464.67
2023,1,1,1:15,-464.67
2023,1,1,0:55,-464.67
2023,1,1,0:35,-464.67
2023,1,1,0:15,-464.67
